"","inform","simil","vocab","compreh","digspan","arith","piccomp","block","matrixreason","symbolsearch","digsym","lnseq"
"1",31,23,63,27,20,18,18,50,21,38,57,15
"2",15,20,44,21,13,12,13,29,17,24,56,12
"3",13,22,40,28,14,13,13,28,16,25,72,13
"4",13,21,51,21,22,13,16,36,14,27,67,18
"5",22,21,55,28,17,10,13,22,13,27,60,15
"6",25,22,61,27,20,20,18,59,18,38,78,16
"7",20,25,45,23,13,16,16,33,14,31,60,12
"8",18,25,61,28,22,14,22,43,18,42,45,30
"9",21,22,57,27,14,16,16,40,13,34,40,19
"10",22,25,56,22,15,10,16,31,13,29,57,16
"11",16,25,62,28,15,13,20,35,21,37,63,23
"12",23,24,53,30,26,21,19,59,16,40,87,16
"13",17,18,44,27,15,11,15,45,11,33,73,12
"14",19,23,48,27,20,13,15,58,15,36,54,21
"15",20,28,56,24,19,18,15,34,15,34,65,11
"16",23,22,49,23,21,16,14,42,19,34,80,14
"17",20,20,56,21,20,12,11,30,16,29,81,15
"18",19,20,60,25,18,8,14,33,12,31,67,15
"19",12,18,49,31,15,8,13,28,13,32,81,22
"20",20,19,58,23,22,15,15,35,14,30,73,18
"21",22,17,55,24,20,13,18,38,13,30,60,12
"22",11,20,54,24,21,13,17,35,17,29,73,16
"23",15,21,52,28,12,12,13,36,12,29,75,16
"24",18,23,55,23,20,12,13,32,17,30,48,14
"25",19,28,69,29,28,13,16,40,17,32,67,10
"26",22,27,60,29,25,15,17,25,15,31,80,13
"27",32,25,69,32,16,13,17,36,17,28,69,12
"28",16,21,50,26,22,15,17,42,19,31,54,17
"29",16,21,56,22,24,18,19,43,17,36,54,13
"30",27,23,61,25,22,15,17,46,19,38,76,16
"31",18,28,54,23,17,13,19,44,21,33,82,11
"32",21,24,61,29,15,11,15,32,19,34,66,9
"33",20,23,57,22,15,15,17,34,14,35,87,12
"34",20,21,51,25,22,16,18,47,18,31,75,21
"35",26,27,63,31,18,15,19,42,15,40,88,16
"36",14,25,55,24,20,12,15,34,15,27,47,12
"37",28,26,66,27,15,13,20,41,13,31,84,17
"38",21,30,61,30,17,13,19,51,14,37,56,16
"39",19,20,49,23,18,11,13,29,18,36,71,22
"40",23,20,55,22,24,14,16,40,15,35,77,14
"41",15,20,47,24,15,13,14,39,12,26,73,17
"42",16,17,49,26,20,17,20,43,18,30,78,23
"43",19,27,65,33,16,14,19,48,25,40,87,20
"44",16,26,50,26,12,11,15,50,16,44,71,14
"45",26,24,61,29,22,13,16,42,20,39,64,17
"46",27,30,77,27,27,17,20,51,20,34,66,11
"47",20,25,56,25,19,16,14,35,17,27,64,16
"48",18,22,61,24,21,11,19,36,15,36,58,14
"49",15,24,38,26,13,11,18,41,18,38,71,21
"50",13,18,49,28,24,12,17,44,12,33,65,18
"51",18,24,53,28,24,17,15,31,19,35,57,15
"52",19,24,60,26,23,14,19,29,17,26,62,20
"53",23,28,63,26,21,13,19,44,15,34,53,14
"54",22,22,56,25,24,10,19,49,15,39,65,16
"55",14,21,56,30,12,4,14,27,16,30,73,13
"56",19,22,58,29,18,19,18,45,16,39,67,19
"57",22,21,49,20,18,11,15,39,17,35,66,14
"58",18,27,55,29,19,7,17,32,14,30,52,19
"59",14,16,34,20,19,8,17,36,12,34,74,15
"60",21,21,55,30,21,14,20,36,21,37,100,16
"61",25,18,55,23,14,12,18,30,18,31,70,11
"62",17,23,56,28,20,18,17,43,19,33,73,14
"63",16,25,48,24,15,10,14,38,16,29,58,16
"64",21,21,53,21,15,14,16,47,17,39,66,11
"65",20,21,59,24,19,13,16,46,13,37,71,22
"66",26,24,61,23,22,17,16,56,20,40,66,15
"67",19,21,53,26,19,15,20,43,17,33,94,15
"68",23,25,63,27,24,15,22,50,15,38,86,21
"69",17,21,51,28,16,13,17,36,14,38,70,13
"70",15,21,56,23,17,14,16,40,18,31,69,16
"71",23,23,61,22,17,9,17,29,15,31,62,12
"72",23,23,53,28,13,10,15,38,13,34,42,19
"73",19,25,54,24,13,15,15,41,16,37,47,18
"74",18,21,54,22,23,11,16,43,14,31,74,11
"75",20,20,49,23,20,14,16,43,17,31,59,12
"76",22,29,64,28,20,16,16,38,19,36,91,18
"77",22,26,56,25,21,16,17,42,14,26,65,12
"78",10,25,53,22,24,16,18,28,20,30,63,20
"79",15,22,47,23,20,13,14,30,12,29,64,22
"80",22,23,57,27,16,11,16,38,14,36,86,8
"81",21,27,59,25,22,12,17,26,15,33,71,17
"82",12,20,52,20,25,12,16,35,13,30,58,21
"83",19,24,59,22,18,12,18,31,18,32,63,13
"84",24,21,62,26,19,12,16,36,12,30,61,16
"85",17,16,45,21,19,12,12,27,13,30,43,11
"86",13,28,44,29,22,15,19,31,20,37,88,16
"87",17,27,58,26,19,12,18,28,19,38,74,17
"88",20,20,60,27,9,9,15,38,17,43,85,15
"89",21,20,47,17,24,13,13,26,10,36,68,10
"90",22,20,55,31,15,11,21,37,13,33,87,17
"91",27,31,67,32,26,14,22,49,19,38,82,18
"92",17,25,57,24,15,12,15,31,18,38,63,11
"93",18,26,46,21,21,15,14,45,14,31,53,16
"94",20,22,51,19,21,17,15,36,17,29,84,13
"95",13,25,48,23,14,8,15,40,12,31,54,11
"96",14,22,51,22,24,13,13,27,12,29,63,16
"97",21,20,45,25,15,13,18,50,14,33,69,22
"98",26,25,61,30,19,15,19,44,16,34,94,12
"99",20,19,55,20,21,15,15,38,14,37,71,8
"100",21,24,59,28,16,9,17,44,13,36,73,16
"101",23,28,53,32,14,13,19,51,16,36,84,18
"102",12,25,42,27,10,11,16,48,16,34,77,22
"103",13,24,56,30,20,15,18,44,17,32,84,21
"104",22,24,48,18,17,13,13,32,17,32,74,18
"105",20,22,55,25,21,14,16,44,14,35,69,18
"106",14,20,51,26,12,9,15,27,15,32,72,17
"107",25,20,52,25,12,12,15,40,15,33,44,14
"108",30,23,66,28,19,13,16,37,16,40,53,25
"109",27,27,70,24,28,16,19,34,19,30,59,13
"110",22,21,55,24,21,15,15,41,14,35,65,22
"111",18,26,56,26,20,11,20,31,17,33,54,16
"112",15,22,55,18,16,14,11,25,14,24,63,8
"113",17,25,55,26,25,14,17,37,17,27,58,21
"114",16,25,48,23,29,20,17,41,19,34,74,14
"115",21,22,55,25,18,13,16,40,15,29,83,17
"116",19,25,57,33,20,14,14,44,11,27,64,18
"117",22,24,57,26,17,16,19,50,20,32,73,16
"118",15,26,47,21,21,14,16,36,17,37,69,12
"119",16,23,50,26,18,13,14,37,12,27,49,17
"120",28,28,64,30,14,15,17,42,21,34,64,9
"121",15,21,48,26,15,10,17,38,16,29,73,20
"122",25,25,61,28,16,9,15,33,16,37,57,18
"123",21,22,58,25,17,11,16,47,13,32,58,16
"124",27,23,61,30,21,14,16,41,19,35,81,17
"125",20,23,50,23,19,9,16,26,15,36,68,11
"126",23,24,67,26,20,10,17,42,16,37,71,18
"127",20,24,57,31,22,14,22,49,19,34,94,18
"128",26,27,69,30,19,15,15,51,14,36,47,11
"129",25,24,60,29,17,12,16,37,14,30,56,18
"130",20,23,52,27,27,18,20,49,25,43,75,21
"131",22,22,53,20,18,11,15,29,17,31,63,12
"132",14,25,48,24,14,12,16,38,15,38,67,19
"133",10,22,41,21,18,14,17,28,15,32,58,11
"134",26,25,73,27,22,19,21,55,21,41,87,19
"135",24,26,59,22,18,12,19,40,15,33,71,15
"136",25,28,62,31,25,13,17,43,16,30,84,17
"137",20,31,55,29,20,15,22,54,21,39,65,15
"138",18,23,58,24,20,14,19,41,13,32,55,17
"139",28,25,57,21,14,15,17,47,20,34,71,16
"140",20,31,67,31,29,18,19,48,16,41,65,20
"141",31,19,63,27,24,9,14,38,19,34,68,6
"142",18,22,57,23,21,10,15,41,18,36,69,17
"143",22,26,59,26,17,14,15,35,19,32,68,10
"144",17,22,47,24,19,14,14,37,16,33,76,10
"145",22,19,49,23,19,12,18,32,16,33,70,20
"146",22,27,56,25,23,16,17,39,18,31,70,19
"147",18,21,51,21,18,16,17,48,16,36,60,20
"148",27,18,61,23,22,13,17,45,13,34,70,16
"149",20,22,47,25,20,12,18,47,17,31,73,16
"150",22,24,64,27,19,12,18,38,18,33,65,7
"151",19,19,51,24,18,13,16,38,18,30,69,22
"152",14,19,41,25,16,7,14,30,16,28,74,15
"153",15,23,57,24,22,15,15,39,16,34,49,11
"154",25,27,62,26,23,11,19,38,16,29,59,12
"155",23,24,51,26,22,19,15,50,20,37,82,16
"156",23,19,58,23,21,19,17,54,20,40,68,16
"157",19,25,53,27,23,13,16,42,15,33,53,15
"158",19,23,53,30,14,12,15,38,18,35,73,13
"159",21,25,65,25,19,13,17,44,16,33,55,15
"160",20,19,59,27,14,4,14,28,14,30,65,7
"161",15,22,58,27,25,15,16,36,15,34,55,13
"162",22,20,49,25,11,14,18,36,17,33,66,22
"163",23,20,52,23,15,14,16,40,16,33,72,17
"164",28,21,56,30,19,19,17,50,15,35,69,16
"165",20,27,57,26,21,12,19,46,19,37,68,15
"166",16,20,51,18,18,13,12,33,13,25,41,15
"167",23,27,68,30,25,18,19,56,17,40,60,17
"168",19,25,51,20,27,15,15,32,15,33,71,12
"169",15,21,48,27,9,10,18,28,12,29,64,15
"170",22,24,59,24,26,19,16,43,17,36,52,20
"171",32,21,60,29,16,14,16,37,17,31,69,20
"172",23,25,66,28,17,11,17,34,17,33,63,15
"173",23,20,53,21,15,8,16,29,18,30,76,14
"174",25,30,68,31,19,11,19,36,18,39,69,20
"175",14,19,49,26,12,13,11,32,12,21,71,14
"176",19,20,51,22,20,13,19,40,13,32,70,22
"177",14,21,47,25,24,14,16,43,18,34,66,16
"178",18,23,53,26,23,12,17,43,18,39,94,22
"179",25,28,69,30,15,10,19,53,16,40,94,16
"180",24,20,54,24,18,14,18,54,18,32,83,14
"181",27,16,52,27,13,14,14,45,14,33,92,15
"182",26,26,67,26,20,16,16,37,15,34,64,8
"183",17,12,32,18,10,6,11,21,10,26,59,16
"184",23,22,51,23,19,16,18,47,19,37,79,17
"185",24,24,64,29,21,16,19,41,24,40,48,11
"186",20,24,52,29,16,13,17,36,18,32,70,13
"187",30,22,62,27,13,12,16,58,16,44,71,17
"188",24,19,54,24,17,14,19,46,17,34,81,21
"189",21,22,52,30,16,13,20,42,15,28,47,29
"190",27,21,62,31,24,14,16,48,17,37,72,12
"191",17,25,59,29,20,16,13,32,15,30,75,10
"192",21,23,51,26,18,15,16,39,14,36,71,15
"193",18,29,62,21,15,15,13,31,16,32,71,9
"194",17,26,48,28,18,11,16,33,15,32,74,16
"195",25,21,61,23,15,14,15,49,17,41,61,22
"196",28,21,67,32,15,9,17,45,14,34,86,15
"197",21,21,50,19,17,14,15,38,15,34,77,9
"198",21,20,49,22,15,15,12,32,16,27,59,20
"199",21,29,69,33,22,14,20,38,13,31,60,13
"200",24,24,62,34,17,14,22,42,20,38,79,13
"201",19,23,44,19,17,16,15,40,16,32,61,22
"202",22,23,53,28,14,10,16,31,17,27,77,12
"203",18,28,63,31,18,15,14,39,16,37,62,15
"204",23,26,59,36,22,13,21,44,18,39,74,16
"205",14,25,61,26,20,13,18,38,16,33,81,15
"206",28,24,55,27,20,12,16,40,20,30,78,20
"207",16,21,50,29,23,15,16,42,11,30,69,11
"208",16,19,45,22,22,12,13,35,13,25,65,17
"209",21,22,58,26,15,10,16,40,14,37,82,13
"210",18,18,46,25,20,14,13,38,20,34,65,18
"211",20,19,58,26,19,9,14,40,11,33,56,10
"212",19,19,55,20,22,11,14,36,15,34,57,15
"213",23,26,53,29,17,17,18,43,18,34,66,16
"214",15,22,48,28,23,14,17,47,17,39,89,16
"215",24,23,52,33,21,11,17,32,18,32,66,10
"216",21,19,53,28,11,8,16,39,16,28,76,14
"217",22,18,63,27,16,11,16,39,17,30,67,20
"218",24,25,60,27,24,11,19,35,19,35,58,17
"219",18,20,50,25,20,13,16,37,14,30,83,11
"220",14,20,45,19,18,11,17,41,19,30,73,12
"221",21,23,58,28,18,14,17,50,18,36,60,18
"222",24,24,60,31,21,14,22,52,14,36,81,15
"223",20,28,63,31,21,12,20,43,16,39,63,12
"224",23,26,57,21,19,16,17,29,18,23,69,15
"225",15,23,45,29,13,10,15,38,13,33,93,20
"226",17,24,49,25,21,10,8,26,13,31,52,13
"227",31,23,61,26,18,15,17,52,16,39,76,6
"228",20,22,55,30,21,11,17,34,19,39,87,20
"229",18,24,53,28,18,15,16,41,16,36,96,19
"230",17,23,50,30,15,18,18,49,14,41,88,18
"231",16,21,49,27,23,16,16,32,16,27,46,22
"232",18,23,49,25,18,10,16,34,15,33,68,8
"233",22,22,54,20,14,11,17,37,19,33,85,16
"234",20,23,47,26,16,14,13,30,16,31,79,17
"235",11,22,40,21,19,9,17,26,19,35,74,11
"236",28,22,61,24,24,15,17,36,20,33,49,15
"237",22,17,46,23,19,12,16,49,17,34,75,22
"238",18,23,58,20,23,15,14,33,18,24,71,13
"239",24,21,48,29,22,13,15,40,11,36,89,19
"240",20,27,69,34,20,17,21,63,20,45,58,14
"241",20,18,46,27,15,11,15,46,15,28,87,18
"242",18,21,50,27,9,9,13,39,16,35,55,20
"243",14,19,47,18,18,10,17,26,16,29,58,14
"244",22,24,54,32,23,14,19,48,16,40,92,14
"245",22,24,66,24,24,13,17,40,14,37,70,15
"246",23,31,65,29,19,20,19,43,18,38,52,16
"247",24,25,63,26,21,14,20,38,19,38,62,18
"248",28,28,64,34,29,18,17,59,21,41,47,17
"249",21,22,58,24,19,10,14,39,15,37,63,15
"250",21,26,49,24,25,20,16,48,21,34,65,17
"251",22,18,50,23,10,10,15,39,14,32,58,19
"252",19,22,59,24,26,20,15,42,13,37,90,12
"253",19,26,60,29,19,16,16,28,17,33,56,13
"254",22,27,68,30,20,17,19,43,20,40,80,20
"255",31,20,62,29,19,14,22,54,15,41,82,15
"256",17,29,60,28,18,8,15,33,14,35,62,13
"257",26,29,64,28,21,16,20,44,17,30,63,11
"258",33,22,63,26,24,21,18,56,22,39,58,16
"259",17,19,52,22,12,7,14,31,16,36,51,10
"260",21,29,64,29,15,10,16,35,17,36,65,8
"261",18,23,43,22,25,16,16,40,15,31,60,14
"262",15,25,49,29,26,13,16,34,15,30,64,17
"263",20,20,55,19,20,11,17,44,17,34,68,22
"264",19,25,62,30,14,14,17,43,18,37,65,15
"265",15,15,48,21,16,11,17,32,15,30,57,26
"266",22,26,58,26,22,17,14,44,16,34,50,13
"267",15,15,45,19,15,7,18,37,14,31,70,18
"268",16,25,53,17,16,14,16,44,20,29,68,18
"269",24,23,61,26,17,9,16,40,15,33,63,22
"270",28,19,58,28,18,10,16,37,15,33,62,16
"271",15,25,49,28,17,14,17,32,14,31,69,16
"272",30,29,75,29,16,15,17,41,13,35,78,9
"273",18,19,48,23,22,11,14,31,17,35,64,17
"274",19,20,57,24,18,12,14,35,14,35,53,11
"275",22,23,50,22,16,15,17,34,14,32,80,12
"276",21,25,63,27,14,14,18,39,15,36,72,14
"277",19,21,47,29,14,9,16,41,13,37,73,12
"278",24,24,58,29,18,13,17,30,16,29,51,18
"279",17,19,51,23,22,13,19,47,16,39,69,18
"280",16,21,43,24,18,13,12,35,15,29,73,19
"281",22,24,60,24,13,10,17,28,16,30,65,11
"282",21,21,55,19,18,7,16,35,15,32,56,9
"283",15,24,48,22,21,14,18,23,15,31,55,16
"284",25,22,49,23,16,11,15,33,16,29,49,16
"285",19,20,42,19,12,8,10,27,11,30,86,6
"286",25,25,65,29,26,17,21,48,19,38,68,20
"287",16,24,58,25,20,15,15,33,15,36,64,13
"288",17,19,53,27,21,15,13,48,12,33,79,12
"289",21,27,62,30,17,17,14,39,16,29,55,11
"290",19,24,57,25,22,15,16,33,18,31,79,21
"291",14,19,58,24,16,9,11,37,13,35,56,16
"292",19,20,49,23,15,11,17,30,18,29,66,17
"293",19,22,54,25,20,15,17,44,15,37,59,30
"294",14,23,43,26,19,10,14,26,17,29,64,12
"295",19,23,46,23,18,12,12,35,14,32,74,18
"296",17,18,47,27,22,14,15,42,16,33,64,17
"297",15,22,53,26,16,14,15,37,17,28,73,18
"298",15,17,48,22,15,9,16,30,13,30,83,16
"299",16,22,44,22,17,11,19,51,15,34,91,20
"300",16,21,47,21,17,2,20,36,15,32,78,14
