code,group
stock100002,3
stock100004,2
stock100005,3
stock100007,1
stock100011,3
stock100017,2
stock100018,3
stock100023,2
stock100024,1
stock100029,2
stock100033,1
stock100037,3
stock100056,3
stock100060,3
stock100072,1
stock100073,1
stock100074,3
stock100080,2
stock100089,1
stock100093,3
stock100102,1
stock100105,1
stock100106,3
stock100113,1
stock100114,2
stock100117,3
stock100118,3
stock100124,1
stock100125,1
stock100128,2
stock100133,2
stock100134,2
stock100136,2
stock100137,1
stock100151,1
stock100158,2
stock100160,1
stock100161,2
stock100172,3
stock100173,1
stock100179,2
stock100183,2
stock100184,3
stock100188,2
stock100193,2
stock100201,3
stock100207,3
stock100212,3
stock100216,3
stock100219,3
stock100220,1
stock100231,2
stock100250,2
stock100251,2
stock100252,1
stock100253,3
stock100258,2
stock100259,1
stock100268,3
stock100270,3
stock100277,1
stock100279,1
stock100280,1
stock100281,3
stock100283,2
stock100285,3
stock100286,3
stock100290,3
stock100295,3
stock100297,1
stock100298,1
stock100309,3
stock100314,2
stock100315,3
stock100324,1
stock100328,3
stock100329,2
stock100345,1
stock100348,3
stock100359,2
stock100366,2
stock100367,3
stock100368,3
stock100374,3
stock100380,1
stock100382,2
stock100388,2
stock100391,1
stock100398,2
stock100399,1
stock100400,2
stock100401,3
stock100403,2
stock100404,3
stock100407,2
stock100410,2
stock100413,3
stock100422,3
stock100427,2
stock100430,1
stock100435,1
stock100436,1
stock100441,3
stock100445,3
stock100447,1
stock100448,1
stock100451,3
stock100456,1
stock100457,2
stock100463,3
stock100470,1
stock100471,1
stock100475,2
stock100493,1
stock100495,1
stock100499,1
stock100507,3
stock100509,2
stock100511,1
stock100513,3
stock100515,3
stock100518,1
stock100529,1
stock100533,1
stock100543,2
stock100550,3
stock100554,2
stock100565,1
stock100573,1
stock100579,3
stock100580,1
stock100581,1
stock100586,3
stock100588,3
stock100589,1
stock100592,2
stock100596,1
stock100604,3
stock100611,3
stock100615,1
stock100617,2
stock100624,1
stock100627,3
stock100628,3
stock100629,3
stock100637,3
stock100641,2
stock100642,2
stock100644,3
stock100651,3
stock100653,1
stock100660,3
stock100662,3
stock100676,2
stock100685,1
stock100689,3
stock100691,1
stock100701,2
stock100710,1
stock100717,2
stock100718,3
stock100721,1
stock100723,2
stock100728,1
stock100732,2
stock100736,2
stock100743,2
stock100747,3
stock100750,2
stock100754,2
stock100755,3
stock100762,3
stock100763,2
stock100766,2
stock100767,3
stock100770,2
stock100772,1
stock100775,3
stock100776,1
stock100783,1
stock100786,1
stock100787,2
stock100792,1
stock100796,3
stock100803,2
stock100806,2
stock100807,1
stock100810,2
stock100811,1
stock100813,1
stock100818,1
stock100820,3
stock100821,1
stock100823,1
stock100830,2
stock100837,2
stock100839,3
stock100843,2
stock100847,1
stock100850,2
stock100853,3
stock100863,1
stock100874,2
stock100877,1
stock100879,3
stock100894,3
stock100898,3
stock100902,1
stock100907,2
stock100908,2
stock100919,2
stock100922,1
stock100925,1
stock100934,3
stock100935,3
stock100937,3
stock100943,1
stock100944,2
stock100947,1
stock100949,1
stock100950,1
stock100954,3
stock100958,3
stock100964,2
stock100968,1
stock100972,1
stock100979,3
stock100983,2
stock100984,3
stock100986,2
stock100989,3
stock100990,3
stock100992,2
stock100997,3
stock100998,1
stock101004,1
stock101010,3
stock101016,3
stock101017,1
stock101033,3
stock101045,2
stock101058,3
stock101059,1
stock101060,1
stock101063,1
stock101067,2
stock101070,3
stock101073,1
stock101078,2
stock101081,2
stock101087,2
stock101091,3
stock101094,2
stock101095,3
stock101099,2
stock101101,1
stock101102,3
stock101104,2
stock101109,1
stock101115,1
stock101117,3
stock101119,1
stock101126,3
stock101128,3
stock101142,3
stock101153,3
stock101154,3
stock101165,3
stock101168,2
stock101176,2
stock101178,2
stock101184,3
stock101186,2
stock101196,1
stock101201,3
stock101202,3
stock101216,1
stock101227,1
stock101231,1
stock101235,2
stock101237,1
stock101240,1
stock101241,3
stock101244,2
stock101251,2
stock101255,3
stock101260,2
stock101264,1
stock101265,1
stock101266,2
stock101270,2
stock101272,1
stock101277,3
stock101279,1
stock101284,3
stock101290,1
stock101298,1
stock101308,1
stock101309,2
stock101313,2
stock101317,2
stock101318,2
stock101324,1
stock101337,1
stock101340,2
stock101343,3
stock101345,3
stock101349,2
stock101350,1
stock101352,1
stock101356,2
stock101357,3
stock101364,3
stock101367,1
stock101369,2
stock101373,3
stock101381,3
stock101386,3
stock101388,1
stock101391,3
stock101396,3
stock101402,3
stock101405,1
stock101406,1
stock101412,2
stock101416,3
stock101417,3
stock101420,2
stock101430,3
stock101432,1
stock101446,3
stock101447,1
stock101460,1
stock101470,1
stock101472,2
stock101482,3
stock101484,3
stock101486,3
stock101487,2
stock101488,3
stock101491,2
stock101498,2
stock101503,1
stock101511,3
stock101514,2
stock101516,1
stock101522,2
stock101532,3
stock101537,2
stock101544,2
stock101550,1
stock101553,2
stock101564,2
stock101566,1
stock101567,3
stock101572,3
stock101575,2
stock101576,1
stock101581,2
stock101582,3
stock101592,2
stock101599,3
stock101603,1
stock101612,1
stock101634,2
stock101635,2
stock101636,3
stock101640,2
stock101649,1
stock101652,2
stock101656,2
stock101657,2
stock101662,1
stock101664,2
stock101665,1
stock101671,1
stock101672,3
stock101690,3
stock101694,2
stock101702,2
stock101706,1
stock101709,3
stock101718,2
stock101721,3
stock101722,3
stock101734,2
stock101735,1
stock101736,3
stock101743,2
stock101745,2
stock101747,1
stock101750,1
stock101754,2
stock101769,2
stock101774,1
stock101778,1
stock101780,1
stock101784,3
stock101787,2
stock101789,3
stock101800,2
stock101802,1
stock101803,2
stock101807,3
stock101808,3
stock101814,2
stock101815,1
stock101819,3
stock101825,1
stock101833,1
stock101842,3
stock101859,2
stock101863,3
stock101864,2
stock101869,3
stock101875,2
stock101876,3
stock101880,3
stock101881,1
stock101885,3
stock101894,3
stock101897,2
stock101904,3
stock101906,2
stock101919,1
stock101921,3
stock101922,3
stock101928,1
stock101938,1
stock101942,3
stock101944,3
stock101950,3
stock101952,2
stock101954,1
stock101957,3
stock101962,3
stock101964,1
stock101970,2
stock101971,2
stock101984,3
stock101986,3
stock101987,2
stock101988,3
stock101989,1
stock101990,2
stock101993,3
stock101994,3
stock102006,3
stock102008,2
stock102011,2
stock102012,2
stock102023,3
stock102027,2
stock102037,2
stock102039,1
stock102040,1
stock102041,2
stock102042,1
stock102044,1
stock102045,1
stock102047,2
stock102048,1
stock102051,1
stock102052,2
stock102057,3
stock102063,2
stock102069,1
stock102076,1
stock102077,2
stock102087,1
stock102096,2
stock102099,1
stock102103,2
stock102105,2
stock102111,2
stock102113,1
stock102116,3
stock102119,2
stock102122,2
stock102123,2
stock102125,2
stock102134,1
stock102135,2
stock102146,3
stock102147,1
stock102149,1
stock102157,3
stock102161,1
stock102162,3
stock102164,1
stock102165,2
stock102170,3
stock102173,3
stock102175,1
stock102178,2
stock102179,1
stock102181,1
stock102185,1
stock102187,2
stock102193,1
stock102194,3
stock102195,1
stock102206,3
stock102209,1
stock102224,3
stock102231,3
stock102234,3
stock102240,2
stock102247,1
stock102257,2
stock102258,2
stock102260,2
stock102262,2
stock102270,3
stock102276,2
stock102278,1
stock102285,2
stock102286,1
stock102289,2
stock102295,1
stock102302,1
stock102308,2
stock102314,1
stock102329,2
stock102336,2
stock102338,1
stock102339,2
stock102341,1
stock102343,2
stock102344,3
stock102345,3
stock102348,1
stock102350,3
stock102352,3
stock102364,2
stock102369,1
stock102380,3
stock102383,3
stock102405,2
stock102413,1
stock102416,2
stock102417,3
stock102420,3
stock102435,2
stock102441,1
stock102442,1
stock102445,2
stock102448,2
stock102449,1
stock102450,3
stock102458,3
stock102466,2
stock102470,2
stock102471,2
stock102473,3
stock102474,3
stock102476,2
stock102477,2
stock102478,2
stock102480,2
stock102483,1
stock102484,2
stock102486,1
stock102488,2
stock102493,3
stock102499,3
stock102500,2
stock102508,2
stock102511,1
stock102514,1
stock102515,3
stock102528,1
stock102529,2
stock102531,2
stock102541,2
stock102546,3
stock102547,3
stock102550,1
stock102553,3
stock102559,2
stock102561,3
stock102564,2
stock102570,1
stock102582,2
stock102589,1
stock102591,1
stock102596,1
stock102604,1
stock102608,1
stock102614,1
stock102615,3
stock102616,2
stock102618,2
stock102622,3
stock102625,2
stock102630,3
stock102637,3
stock102652,3
stock102653,3
stock102654,1
stock102655,2
stock102665,2
stock102670,1
stock102678,1
stock102680,3
stock102692,1
stock102698,3
stock102699,3
stock102707,2
stock102709,3
stock102715,1
stock102716,3
stock102717,2
stock102732,2
stock102736,1
stock102737,3
stock102738,1
stock102741,3
stock102749,3
stock102750,3
stock102754,2
stock102757,3
stock102781,2
stock102787,3
stock102793,1
stock102799,2
stock102800,3
stock102803,1
stock102805,1
stock102806,1
stock102809,1
stock102813,1
stock102816,2
stock102817,2
stock102822,2
stock102825,1
stock102833,1
stock102847,1
stock102849,3
stock102858,3
stock102863,1
stock102866,3
stock102867,2
stock102870,2
stock102876,2
stock102884,3
stock102886,1
stock102889,1
stock102890,2
stock102891,2
stock102892,2
stock102893,1
stock102896,3
stock102898,2
stock102902,1
stock102903,3
stock102904,2
stock102909,2
stock102915,3
stock102920,3
stock102923,1
stock102928,1
stock102929,1
stock102935,1
stock102936,3
stock102938,2
stock102940,1
stock102943,1
stock102944,1
stock102948,1
stock102949,1
stock102950,1
stock102957,1
stock102960,3
stock102962,3
stock102963,1
stock102966,1
stock102968,3
stock102979,3
stock102980,1
stock102985,3
stock102986,3
stock102998,1
stock103004,1
stock103006,1
stock103009,1
stock103010,3
stock103019,2
stock103020,3
stock103021,1
stock103027,2
stock103037,2
stock103038,3
stock103040,3
stock103047,1
stock103049,2
stock103050,3
stock103053,1
stock103054,1
stock103057,3
stock103065,1
stock103070,3
stock103081,3
stock103082,2
stock103084,3
stock103088,1
stock103089,3
stock103091,2
stock103098,3
stock103100,2
stock103102,3
stock103106,1
stock103107,1
stock103108,1
stock103112,2
stock103115,2
stock103130,2
stock103141,1
stock103145,3
stock103146,2
stock103147,2
stock103148,1
stock103154,3
stock103161,1
stock103164,3
stock103176,2
stock103178,3
stock103179,2
stock103181,2
stock103185,1
stock103190,1
stock103195,3
stock103204,2
stock103206,1
stock103207,2
stock103208,3
stock103212,2
stock103213,1
stock103216,2
stock103219,1
stock103220,3
stock103224,2
stock103229,2
stock103234,2
stock103240,3
stock103245,3
stock103251,2
stock103255,3
stock103258,3
stock103261,3
stock103264,1
stock103267,2
stock103269,3
stock103271,2
stock103277,2
stock103279,2
stock103282,3
stock103291,1
stock103296,2
stock103304,2
stock103306,2
stock103308,3
stock103310,3
stock103311,3
stock103312,1
stock103314,2
stock103319,3
stock103322,1
stock103326,3
stock103334,1
stock103339,2
stock103340,3
stock103341,3
stock103345,3
stock103347,2
stock103348,1
stock103352,3
stock103354,3
stock103360,3
stock103370,2
stock103371,2
stock103375,2
stock103380,3
stock103390,1
stock103397,3
stock103402,1
stock103403,2
stock103406,3
stock103414,1
stock103416,1
stock103417,3
stock103419,2
stock103430,2
stock103435,3
stock103437,2
stock103441,1
stock103442,1
stock103446,3
stock103448,2
stock103450,1
stock103451,1
stock103454,3
stock103457,2
stock103458,1
stock103460,3
stock103465,1
stock103467,2
stock103472,2
stock103473,3
stock103476,1
stock103484,3
stock103489,1
stock103492,2
stock103502,2
stock103509,1
stock103511,1
stock103512,2
stock103513,2
stock103515,1
stock103516,2
stock103519,2
stock103521,2
stock103522,1
stock103531,3
stock103537,3
stock103541,3
stock103543,1
stock103544,2
stock103545,1
stock103548,3
stock103549,2
stock103550,2
stock103551,3
stock103557,1
stock103564,1
stock103565,2
stock103567,2
stock103577,2
stock103578,3
stock103582,1
stock103584,1
stock103603,1
stock103606,1
stock103608,2
